ACFT_SERIES,ICAO,ENG_TYPE,NB_ENG,BADA3,BADA4,BADA_TYPE,ENGINE_ID
A318 111 ELITE,A318,CFM56-5B8/P,2,A318,A318-112,J,7CM048
A318 112,A318,CFM56-5B8/P,2,A318,A318-112,J,7CM048
A318 112 ELITE,A318,CFM56-5B8/P,2,A318,A318-112,J,7CM048
A318 121,A318,PW6122,2,A318,A318-112,J,7PW083
A318 122,A318,PW6124A,2,A318,A318-112,J,7PW084
A319 111,A319,CFM56-5B5/P,2,A319,A319-114,J,3CM027
A319 112,A319,CFM56-5B6/P,2,A319,A319-114,J,3CM028
A319 112 SL,A319,CFM56-5B6/P,2,A319,A319-114,J,3CM028
A319 112X,A319,CFM56-5B5/P,2,A319,A319-114,J,3CM027
A319 113,A319,CFM56-5A4,2,A319,A319-114,J,4CM035
A319 114,A319,CFM56-5A5,2,A319,A319-114,J,4CM036
A319 115,A319,CFM56-5B7/P,2,A319,A319-114,J,6CM044
A319 115 SL,A319,CFM56-5B6/P,2,A319,A319-114,J,3CM028
A319 115LR,A319,CFM56-5B7/P,2,A319,A319-114,J,6CM044
A319 115X,A319,CFM56-5B5/P,2,A319,A319-114,J,3CM027
A319 115X SL,A319,CFM56-5B7/P,2,A319,A319-114,J,6CM044
A319 131,A319,V2522-A5,2,A319,A319-131,J,3IA006
A319 132,A319,V2524-A5,2,A319,A319-131,J,3IA007
A319 132 SL,A319,V2524-A5,2,A319,A319-131,J,3IA007
A319 132LR,A319,V2522-A5,2,A319,A319-131,J,3IA006
A319 132X,A319,V2524-A5,2,A319,A319-131,J,3IA007
A319 133,A319,V2527M-A5,2,A319,A319-131,J,8IA009
A319 133 SL,A319,V2527M-A5,2,A319,A319-131,J,8IA009
A319 133LR,A319,V2527-A5,2,A319,A319-131,J,1IA003
A319 133X,A319,V2527-A5,2,A319,A319-131,J,1IA003
A319 153N,A19N,LEAP-1A26,2,A20N,,J,01P20CM128
A319 153N CJ,A19N,LEAP-1A26,2,A20N,,J,01P20CM128
A320 111,A320,CFM56-5A1,2,A320,A320-212,J,1CM008
A320 211,A320,CFM56-5A1,2,A320,A320-212,J,1CM008
A320 211 SL,A320,CFM56-5A3,2,A320,A320-212,J,1CM009
A320 212,A320,CFM56-5A3,2,A320,A320-212,J,1CM009
A320 214,A320,CFM56-5B4/P,2,A320,A320-214,J,3CM026
A320 214 SL,A320,CFM56-5B4/P,2,A320,A320-214,J,3CM026
A320 214X,A320,CFM56-5B4/P,2,A320,A320-214,J,3CM026
A320 214X SL,A320,CFM56-5B4/P,2,A320,A320-214,J,3CM026
A320 216,A320,CFM56-5B6/P,2,A320,A320-214,J,3CM028
A320 216 SL,A320,CFM56-5B6/P,2,A320,A320-214,J,3CM028
A320 231,A320,V2500-A1,2,A320,A320-231,J,1IA001
A320 232,A320,V2527-A5,2,A320,A320-232,J,1IA003
A320 232 P2F,A320,V2527-A5,2,A320,A320-232,J,1IA003
A320 232 SL,A320,V2527-A5,2,A320,A320-232,J,1IA003
A320 232X,A320,V2527-A5,2,A320,A320-232,J,1IA003
A320 232X SL,A320,V2527-A5,2,A320,A320-232,J,1IA003
A320 233,A320,V2527E-A5,2,A320,A320-232,J,8IA010
A320 233 SL,A320,V2527E-A5,2,A320,A320-232,J,8IA010
A320 251N,A20N,LEAP-1A26,2,A20N,A320-271N,J,01P20CM128
A320 251N ACJ,A20N,LEAP-1A26,2,A20N,A320-271N,J,01P20CM128
A320 252N,A20N,LEAP-1A24,2,A20N,A320-271N,J,01P20CM127
A320 271N,A20N,PW1127G-JM,2,A20N,A320-271N,J,01P22PW163
A320 272N,A20N,PW1124G-JM,2,A20N,A320-271N,J,01P22PW160
A321 111,A321,CFM56-5B1,2,A321,A321-111,J,2CM012
A321 112,A321,CFM56-5B2,2,A321,A321-111,J,2CM013
A321 131,A321,V2530-A5,2,A321,A321-131,J,1IA005
A321 211,A321,CFM56-5B3/P,2,A321,A321-111,J,3CM025
A321 211 P2F,A321,CFM56-5B3/P,2,A321,A321-111,J,3CM025
A321 211 PCF,A321,CFM56-5B3/P,2,A321,A321-111,J,3CM025
A321 211 SL,A321,CFM56-5B3/P,2,A321,A321-111,J,3CM025
A321 212,A321,CFM56-5B1/2P,2,A321,A321-111,J,3CM020
A321 213,A321,CFM56-5B2,2,A321,A321-111,J,2CM013
A321 213 SL,A321,CFM56-5B2,2,A321,A321-111,J,2CM013
A321 231,A321,V2533-A5,2,A321,A321-131,J,3IA008
A321 231 P2F,A321,V2533-A5,2,A321,A321-131,J,3IA008
A321 231 PCF,A321,V2533-A5,2,A321,A321-131,J,3IA008
A321 231 SL,A321,V2533-A5,2,A321,A321-131,J,3IA008
A321 232,A321,V2530-A5,2,A321,A321-131,J,1IA005
A321 232 PCF,A321,V2530-A5,2,A321,A321-131,J,1IA005
A321 232 SL,A321,V2530-A5,2,A321,A321-131,J,1IA005
A321 251N,A21N,LEAP-1A32,2,A21N,,J,01P20CM132
A321 251NX,A21N,LEAP-1A32,2,A21N,,J,01P20CM132
A321 251NX LR,A21N,LEAP-1A32,2,A21N,,J,01P20CM132
A321 251NY XLR,A21N,LEAP-1A32,2,A21N,,J,01P20CM132
A321 252NX,A21N,LEAP-1A30,2,A21N,,J,01P20CM132
A321 253N,A21N,LEAP-1A33,2,A21N,,J,01P20CM132
A321 253NX,A21N,LEAP-1A33,2,A21N,,J,01P20CM132
A321 253NX LR,A21N,LEAP-1A33,2,A21N,,J,01P20CM132
A321 253NY XLR,A21N,LEAP-1A32,2,A21N,,J,01P20CM132
A321 271N,A21N,PW1133G-JM,2,A21N,,J,01P22PW167
A321 271NX,A21N,PW1133G-JM,2,A21N,,J,01P22PW167
A321 271NXLR,A21N,PW1133G-JM,2,A21N,,J,01P22PW167
A321 272N,A21N,PW1130G-JM,2,A21N,,J,01P22PW165
A321 272NX,A21N,PW1130G-JM,2,A21N,,J,01P22PW165
A330 201,A332,CF6-80E1A2,2,A332,A330-203,J,2GE051
A330 201 MRTT,A332,CF6-80E1A2,2,A332,A330-203,J,2GE051
A330 202,A332,CF6-80E1A4,2,A332,A330-203,J,4GE081
A330 202 P2F,A332,CF6-80E1A3,2,A332,A330-203,J,5GE085
A330 202MRTT,A332,CF6-80E1A3,2,A332,A330-203,J,5GE085
A330 203,A332,CF6-80E1A3,2,A332,A330-203,J,5GE085
A330 203MRTT,A332,CF6-80E1A3,2,A332,A330-203,J,5GE085
A330 223,A332,PW4168A,2,A332,A330-223,J,7PW082
A330 223F,A332,PW4168A,2,A332,A330-223,J,7PW082
A330 243,A332,TRENT 772B-60,2,A332,A330-243,J,01P14RR102
A330 243 F,A332,TRENT 772B-60,2,A332,A330-243,J,01P14RR102
A330 243 MRTT,A332,TRENT 772B-60,2,A332,A330-243,J,01P14RR102
A330 243 P2F,A332,TRENT 772B-60,2,A332,A330-243,J,01P14RR102
A330 243F,A332,PW4168A,2,A332,A330-223,J,7PW082
A330 243MRTT,A332,CF6-80E1A3,2,A332,A330-223,J,5GE085
A330 301,A333,CF6-80E1A2,2,A333,A330-301,J,2GE051
A330 302,A333,CF6-80E1A2,2,A333,A330-301,J,2GE051
A330 303,A333,CF6-80E1A2,2,A333,A330-301,J,2GE051
A330 321,A333,PW4164,2,A333,A330-321,J,7PW081
A330 322,A333,PW4168,2,A333,A330-321,J,5PW075
A330 322 F,A333,PW4168,2,A333,A330-321,J,5PW075
A330 323,A333,PW4168A,2,A333,A330-321,J,7PW082
A330 323X,A333,PW4168-1D,2,A333,A330-321,J,9PW093
A330 341,A333,TRENT 668,2,A333,A330-341,J,01P14RR101
A330 342,A333,TRENT 772-60,2,A333,A330-341,J,01P14RR102
A330 343,A333,TRENT 772B-60,2,A333,A330-341,J,01P14RR102
A330 343 P2F,A333,TRENT 772B-60,2,A333,A330-341,J,01P14RR102
A330 343E,A333,TRENT 772B-60,2,A333,A330-341,J,01P14RR102
A330 743L,A337,TRENT 772B-60,2,A3ST, A300B4-608ST,J,01P14RR102
A330 841,A338,TRENT 7000-72,2,A339,,J,04P24RR146
A330 941,A339,TRENT 7000-72,2,A339,,J,04P24RR146
A340 211,A342,CFM56-5C2,4,A342,A340-213,J,1CM010
A340 212,A342,CFM56-5C3,4,A342,A340-213,J,1CM011
A340 213,A342,CFM56-5C2,4,A342,A340-213,J,1CM010
A340 311,A343,CFM56-5C2,4,A343,A340-313,J,1CM010
A340 312,A343,CFM56-5C3/F,4,A343,A340-313,J,7CM046
A340 313,A343,CFM56-5C4,4,A343,A340-313,J,2CM015
A340 313E,A343,CFM56-5C4/P,4,A343,A340-313,J,7CM047
A340 541,A345,TRENT 553,4,A345,A340-541,J,8RR044
A340 542,A345,TRENT 556,4,A345,A340-541,J,8RR045
A340 642,A346,TRENT 556-61,4,A346,A340-642,J,8RR045
A340 642 HGW,A346,TRENT 556-61,4,A346,A340-642,J,8RR045
A340 642HGW,A346,TRENT 556-61,4,A346,A340-642,J,8RR045
A350 1041,A35K,TRENT XWB-97,2,A35K,,J,01P21RR125
A350 941,A359,TRENT XWB-84,2,A359,A350-941,J,01P18RR124
A350 941 CJ,A359,TRENT XWB-84,2,A359,A350-941,J,01P18RR124
A350 941 ULR,A359,TRENT XWB-84,2,A359,A350-941,J,01P18RR124
A350 942,A359,TRENT XWB-84,2,A359,A350-941,J,01P18RR124
A380 841,A388,TRENT 970-84,4,A388,A380-841,J,01P18RR103
A380 842,A388,TRENT 970-84,4,A388,A380-841,J,01P18RR103
A380 861,A388,GP7270,4,A388,A380-861,J,9EA001
ACJ320 251N,A20N,LEAP-1A26,2,A20N,A320-271N,J,01P20CM128
AEROSTAR 602P,AEST,IO-540-A1A5,2,BE58,,P,IO-540-T4A5D
AIRBUS ACJ TWOTWENTY,BCS1,PW1524G,2,B736,,J,04P20PW196
AN 3T,AN3,TVD-20,1,Q9,,T,BIZLIGHTPROP_F
AN12,AN12,AI-20M,4,AN12,,T,AI-24VT
AN124,A124,D-18T,4,A124,,J,1ZM001
AN124 100,A124,D-18T,4,A124,,J,1ZM001
AN124 100M,A124,D-18T,4,A124,,J,1ZM001
AN124 100M 150,A124,D-18T,4,A124,,J,1ZM001
AN12B,AN12,AI-20M,4,AN12,,T,AI-24VT
AN12BK,AN12,AI-20M,4,AN12,,T,AI-24VT
AN12BP,AN12,AI-20M,4,AN12,,T,AI-24VT
AN12TA,AN12,AI-20M,4,AN12,,T,AI-24VT
AN12TB,AN12,AI-20M,4,AN12,,T,AI-24VT
AN12V,AN12,AI-20M,4,AN12,,T,AI-24VT
AN132D,AN32,PW150,2,AN32,,T,PW150A
AN140,A140,TV3-117VMA-SBM1,2,A140,,T,13ZM004
AN140 100,A140,TV3-117VMA-SBM1,2,A140,,T,13ZM004
AN148,A148,D-436-148,2,A148,,J,13ZM004
AN148 100B,A148,D-436-148,2,A148,,J,13ZM004
AN148 100E,A148,D-436-148,2,A148,,J,13ZM004
AN158,A148,D-436-148,2,A148,,J,13ZM004
AN178,A178,D-436-148FM,2,E190,,J,13ZM003
AN2,AN2,ASH-621R,1,C188,,P,Prop>500hp
AN225,A225,D-18T,6,A124,,J,1ZM001
AN22A,AN22,NK-12MA,4,AN12,,T,BIZHEAVYPROP_F
AN24B,AN24,AI-24-II,2,AN24,,T,AI-24VT
AN24RT,AN24,AI-24VT,2,AN24,,T,AI-24VT
AN24RV,AN24,AI-24VT,2,AN24,,T,AI-24VT
AN24T,AN24,AI-24VT,2,AN24,,T,AI-24VT
AN24TV,AN24,AI-24VT,2,AN24,,T,AI-24VT
AN26,AN26,AI-24VT,2,AN30,,T,AI-24VT
AN26B,AN26,AI-24VT,2,AN30,,T,AI-24VT
AN26B 100,AN26,AI-24VT,2,AN30,,T,AI-24VT
AN26T,AN26,AI-24VT,2,AN30,,T,AI-24VT
AN2T,AN2,ASH-621R,1,C188,,P,Prop>500hp
AN30,AN30,AI-24VT,2,AN30,,T,AI-24VT
AN32,AN32,AI-20D,2,AN32,,T,AI-24VT
AN32B,AN32,AI-20D,2,AN32,,T,AI-24VT
AN32P,AN32,AI-20D,2,AN32,,T,AI-24VT
AN70,AN70,D-27,4,C130,,T,BIZHEAVYPROP_F
AN72,AN72,D-36,2,F28,,J,1ZM001
AN72 100,AN72,D-36-2A,2,F28,,J,1ZM001
AN74,AN72,D-36,2,F28,,J,1ZM001
AN74 200,AN72,D-36-3A,2,F28,,J,1ZM001
AN74T,AN72,D-36,2,F28,,J,1ZM001
AN74T 100,AN72,D-36,2,F28,,J,1ZM001
AN74TK 200,AN72,D-36-3A,2,F28,,J,13ZM002
AN74TK 200A,AN72,D-36-3A,2,F28,,J,13ZM002
AN74TK 300,AN72,D-36-3A,2,F28,,J,13ZM002
AN74TK 300D,AN72,D-36-3A,2,F28,,J,13ZM002
AP68TP 300,P68T,250-B17C,2,K100,,T,BIZLIGHTPROP_F
AP68TP 600,P68T,250-B17C,2,K100,,T,BIZLIGHTPROP_F
ARJ21 700,AJ27,CF34-10A,2,A148,,J,01P11GE202
AT802,AT8T,PT6A-67R,1,PC12,,T,PT6A-67R
AT802A,AT8T,PT6A-67R,1,PC12,,T,PT6A-67R
ATP,ATP,PW126,2,ATP,,T,PW126A
ATP F,ATP,PW126,2,ATP,,T,PW126A
ATR42 300,AT43,PW120,2,AT43,ATR42-300,T,PW120
ATR42 300 F,AT43,PW120,2,AT43,ATR42-300,T,PW120
ATR42 310,AT43,PW121,2,AT43,ATR42-300,T,PW121
ATR42 320,AT43,PW120,2,AT43,ATR42-320,T,PW120
ATR42 320 F,AT43,PW121,2,AT43,ATR42-320,T,PW121
ATR42 420,AT44,PW121A,2,AT45,ATR42-400,T,PW121A
ATR42 420MP,AT44,PW127E,2,AT45,ATR42-400,T,PW127E
ATR42 500,AT45,PW127E,2,AT45,ATR42-500,T,PW127E
ATR42 512,AT45,PW127E,2,AT45,ATR42-500,T,PW127E
ATR42 600,AT46,PW127M,2,AT45,,T,PW127
ATR42M 200,AT44,PW120,2,AT45,ATR42-400,T,PW120
ATR72 201,AT72,PW124B,2,AT72,ATR72-200,T,PW124B
ATR72 201 F,AT72,PW124B,2,AT72,ATR72-200,T,PW124B
ATR72 202,AT72,PW124B,2,AT72,ATR72-200,T,PW124B
ATR72 202 F,AT72,PW124B,2,AT72,ATR72-200,T,PW124B
ATR72 210,AT73,PW124B,2,AT73,ATR72-210,T,PW124B
ATR72 211 F,AT73,PW127,2,AT73,ATR72-210,T,PW127
ATR72 212,AT73,PW127,2,AT73,ATR72-210,T,PW127
ATR72 212 F,AT73,PW127,2,AT73,ATR72-210,T,PW127
ATR72 212A,AT75,PW127F,2,AT75,ATR72-500,T,PW127F
ATR72 212A F,AT75,PW127F,2,AT75,ATR72-500,T,PW127F
ATR72 500,AT75,PW127,2,AT75,ATR72-500,T,PW127
ATR72 600,AT76,PW127M,2,AT76,ATR72-600,T,PW127
ATR72 600F,AT76,PW127M,2,AT76,ATR72-600,T,PW127
B707 138B,B701,JT3D-1/Q,4,B703,,J,1PW001
B707 307C,B703,JT3D-3BQ,4,B703,,J,1PW001
B707 321B Q,B703,JT3D-1/Q,4,B703,,J,1PW001
B707 321C,B703,JT3D-3BQ,4,B703,,J,1PW001
B707 323C,B703,JT3D-3BQ,4,B703,,J,1PW001
B707 324C,B703,JT3D-3BQ,4,B703,,J,1PW001
B707 330B,B703,JT3D-7/Q,4,B703,,J,1PW002
B707 331B,B703,JT3D-3B,4,B703,,J,1PW001
B707 331C,B703,JT3D-3B,4,B703,,J,1PW001
B707 338C,B703,JT3D-3B,4,B703,,J,1PW001
B707 340C,B703,JT3D-3B,4,B703,,J,1PW001
B707 344C,B703,JT3D-7,4,B703,,J,1PW002
B707 345C,B703,UNKNOWN,4,B703,,J,1PW001
B707 351C KC135A,K35E,UNKNOWN,4,B703,,J,1CM002
B707 366C,B703,JT3D-7/Q,4,B703,,J,1PW002
B707 368C,B703,JT3D-3B,4,B703,,J,1PW001
B707 373C,B703,JT3D-3B,4,B703,,J,1PW001
B707 384C,B703,UNKNOWN,4,B703,,J,1PW001
B707 386C,B703,JT3D-3B,4,B703,,J,1PW001
B707 387B F,B703,JT3D-3B,4,B703,,J,1PW001
B707 3J6B,B703,JT3D-7/Q,4,B703,,J,1PW002
B707 3J6C,B703,JT3D-7/Q,4,B703,,J,1PW002
B707 3J9C,B703,UNKNOWN,4,B703,,J,1PW001
B707 3K1C,B703,JT3D-3B/Q,4,B703,,J,1PW001
B707 3L6B,B703,JT3D-7/Q,4,B703,,J,1PW002
B707 3L6C,B703,JT3D-7/Q,4,B703,,J,1PW002
B707 3M1C,B703,JT3D-3B,4,B703,,J,1PW001
B707 3P1C,B703,JT3D-3B/7Q,4,B703,,J,1PW001
B707 3W6C,B703,JT3D-3BQ,4,B703,,J,1PW001
B707 E 3D AEW 1,E3CF,UNKNOWN,4,DC87,,J,1CM001
B707 E3A,E3CF,UNKNOWN,4,DC87,,J,1CM001
B707 E3D,E3CF,UNKNOWN,4,DC87,,J,1CM001
B707 E6A,E6,UNKNOWN,4,DC87,,J,1PW001
B707 E8B,B703,JT3D-3BQ,4,B703,,J,1PW001
B707 E8C,B703,JT3D-3B,4,B703,,J,1PW001
B707 KC 135E,K35E,UNKNOWN,4,B703,,J,1CM001
B707 KC 135R,K35R,UNKNOWN,4,B703,,J,1CM001
B707 RC 135W,K35E,CFM56,4,B703,,J,1CM001
B707 TC 135B,B701,UNKNOWN,4,B703,,J,1CM001
B717 22K,B712,BR715,2,B712,B712HGW21,J,4BR005
B717 231,B712,BR715,2,B712,B712HGW21,J,4BR005
B717 23S,B712,BR715,2,B712,B712HGW21,J,4BR005
B717 2BL,B712,BR715A,2,B712,B712HGW21,J,4BR005
B717 2CM,B712,BR715,2,B712,B712HGW21,J,4BR005
B717 2K9,B712,BR715,2,B712,B712HGW21,J,4BR005
B727 108C RE,B721,TAY 651-54,3,B722,,J,3RR032
B727 109,B721,JT8D-7,3,B722,,J,8PW085
B727 14,B721,JT8D-7,3,B722,,J,8PW085
B727 17 RE,B721,JT8D-217C2/17A1,3,B722,,J,4PW070
B727 173C RE,B721,TAY 651-54,3,B722,,J,3RR032
B727 180C RE,B721,TAY 651-54,3,B722,,J,3RR032
B727 185C RE,B721,TAY 651-54,3,B722,,J,3RR032
B727 1A7C RE,B721,TAY 651-54,3,B722,,J,3RR032
B727 1H2 RE,B721,JT8D-217C2/9A1,3,B722,,J,4PW070
B727 21,B721,JT8D-7B/Q,3,B722,,J,8PW085
B727 212,B722,JT8D-17/Q,3,B722,,J,1PW012
B727 212 ADV,B722,JT8D-17A/Q,3,B722,,J,1PW014
B727 212 RE,B722,JT8D-217C2/17A1,3,B722,,J,4PW070
B727 212 RE ADV,B722,JT8D-217C2/17A1,3,B722,,J,4PW070
B727 22,B722,JT8D-7B/Q,3,B722,,J,8PW085
B727 22 F,B722,JT8D-7B/Q,3,B722,,J,8PW085
B727 22 RE,B722,JT8D-217C217A1,3,B722,,J,4PW070
B727 221 F,B722,JT8D-17R/Q,3,B722,,J,1PW016
B727 221 RE ADV,B722,JT8D-217C2/17A1,3,B722,,J,4PW070
B727 222 F,B722,JT8D-15,3,B722,,J,1PW009
B727 223 ADV,B722,JT8D-9A/Q,3,B722,,J,1PW006
B727 223 F ADV,B722,JT8D-9A/Q,3,B722,,J,1PW006
B727 225,B722,JT8D-15,3,B722,,J,1PW009
B727 225 F,B722,JT8D-15,3,B722,,J,1PW009
B727 225 F ADV,B722,JT8D-15,3,B722,,J,1PW009
B727 227 F ADV,B722,JT8D-17R,3,B722,,J,1PW016
B727 228 ADV,B722,JT8D-15A,3,B722,,J,1PW011
B727 22C,B722,JT8D-7B/Q,3,B722,,J,8PW085
B727 22C QF,B722,TAY 651-54,3,B722,,J,3RR032
B727 22C RE,B722,TAY 651-54,3,B722,,J,3RR032
B727 23,B722,JT8D-7B,3,B722,,J,8PW085
B727 23 Q,B722,TAY 651-54,3,B722,,J,3RR032
B727 230,B722,JT8D-15,3,B722,,J,1PW009
B727 230 ADV,B722,JT8D-15/Q,3,B722,,J,1PW009
B727 230 F ADV,B722,JT8D-15/Q,3,B722,,J,1PW009
B727 232,B722,JT8D-15/Q,3,B722,,J,1PW009
B727 232 ADV,B722,JT8D-15,3,B722,,J,1PW009
B727 233 F ADV,B722,JT8D-15,3,B722,,J,1PW009
B727 235,B722,JT8D-7B,3,B722,,J,8PW085
B727 243 ADV,B722,JT8D-15,3,B722,,J,1PW009
B727 247,B722,JT8D-15,3,B722,,J,1PW009
B727 251,B722,JT8D-15,3,B722,,J,1PW009
B727 256 ADV,B722,JT8D-9,3,B722,,J,1PW006
B727 25C,B722,JT8D-7B/Q,3,B722,,J,8PW085
B727 25C RE,B722,TAY 651-54,3,B722,,J,3RR032
B727 260 F ADV,B722,JT8D-17R/Q,3,B722,,J,1PW016
B727 264 ADV,B722,JT8D-17R,3,B722,,J,1PW016
B727 264 F ADV,B722,JT8D-17R/Q,3,B722,,J,1PW016
B727 269 ADV,B722,JT8D-17R,3,B722,,J,1PW016
B727 276 ADV,B722,JT8D-9/Q,3,B722,,J,1PW006
B727 281 F ADV,B722,JT8D-17/Q,3,B722,,J,1PW012
B727 281 RE,B722,JT8D-217C2/17A1,3,B722,,J,4PW070
B727 282,B722,JT8D-17/Q,3,B722,,J,1PW012
B727 286,B722,JT8D-15,3,B722,,J,1PW009
B727 294 ADV,B722,JT8D-17,3,B722,,J,1PW012
B727 2B7,B722,JT8D-17A,3,B722,,J,1PW014
B727 2D6 ADV,B722,JT8D-15,3,B722,,J,1PW009
B727 2F2 ADV,B722,JT8D-15,3,B722,,J,1PW009
B727 2F2 F ADV,B722,JT8D-15,3,B722,,J,1PW009
B727 2H9 ADV,B722,JT8D-9A,3,B722,,J,1PW006
B727 2J4 ADV,B722,JT8D-7B,3,B722,,J,8PW085
B727 2K5 ADV,B722,JT8D-17,3,B722,,J,1PW012
B727 2L5 ADV,B722,JT8D-15,3,B722,,J,1PW009
B727 2L8 ADV,B722,JT8D-15,3,B722,,J,1PW009
B727 2M1 RE ADV,B722,JT8D-217C2/17A1,3,B722,,J,4PW070
B727 2M7 ADV,B722,JT8D-17R,3,B722,,J,1PW016
B727 2M7 RE ADV,B722,JT8D-217C2/17A1,3,B722,,J,4PW070
B727 2N6 RE ADV,B722,JT8D-217C2/17A1,3,B722,,J,4PW070
B727 2N8 ADV,B722,JT8D-17R,3,B722,,J,1PW016
B727 2P1 RE ADV,B722,JT8D-217C2/17A1,3,B722,,J,4PW070
B727 2Q9 F ADV,B722,JT8D-17R/Q,3,B722,,J,1PW016
B727 2S2F RE,B722,JT8D-217C2/17A1,3,B722,,J,4PW070
B727 2U5 RE ADV,B722,JT8D-217C2/17A1,3,B722,,J,4PW070
B727 2X8 RE ADV,B722,JT8D-217C2/17A1,3,B722,,J,4PW070
B727 2Y4 ADV,B722,JT8D-15/Q,3,B722,,J,1PW009
B727 30,B722,JT8D-7B/Q,3,B722,,J,8PW085
B727 30 RE,B722,JT8D-217C2/17A1,3,B722,,J,4PW070
B727 30C,B722,JT8D-7/Q,3,B722,,J,8PW085
B727 30C RE,B722,TAY 651-54,3,B722,,J,3RR032
B727 31 RE,B722,JT8D-217C2/17A1,3,B722,,J,4PW070
B727 31C QF,B722,TAY 651-54,3,B722,,J,3RR032
B727 31C RE,B722,TAY 651-54,3,B722,,J,3RR032
B727 44,B722,JT8D-7,3,B722,,J,8PW085
B727 44C,B722,JT8D-7B/Q,3,B722,,J,8PW085
B727 46,B722,JT8D-7B/Q,3,B722,,J,8PW085
B727 46 F,B722,JT8D-7B,3,B722,,J,8PW085
B727 51,B722,JT8D-7/Q,3,B722,,J,8PW085
B727 76 RE,B722,JT8D-217C2/17A1,3,B722,,J,4PW070
B727 82,B722,JT8D-7B/Q,3,B722,,J,8PW085
B727 89,B722,JT8D-7B/Q,3,B722,,J,8PW085
B727 91,B722,JT8D-7/Q,3,B722,,J,8PW085
B727 95,B722,JT8D-9A/Q,3,B722,,J,1PW006
B737 10,B3XM,LEAP-1B,2,B39M,,J,01P20CM140
B737 201,B732,JT8D-9A,2,B732,B73215,J,1PW006
